mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
baseline,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1278.437,0.054,0.047,0.058,,,0.197,0.395,0.000,0.000,0.015,0.468
stage3b,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1086.485,0.054,0.050,0.057,,,0.197,0.395,0.000,0.000,0.015,0.468
baseline,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1577.165,0.082,0.079,0.085,,,3.158,6.317,0.000,0.000,0.234,7.490
stage3b,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1656.074,0.082,0.080,0.085,,,3.158,6.317,0.000,0.000,0.234,7.490
baseline,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1745.104,0.171,0.167,0.176,,,12.633,25.267,0.000,0.000,0.936,29.959
stage3b,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",2197.787,0.169,0.164,0.174,,,12.633,25.267,0.000,0.000,0.936,29.959
baseline,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1926.201,0.850,0.845,0.854,,,50.534,101.068,0.000,0.000,3.745,119.837
stage3b,ok,matmul,matmul_lhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,2048x2048,2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1930.072,0.853,0.849,0.859,,,50.534,101.068,0.000,0.000,3.745,119.837
baseline,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1210.774,0.056,0.050,0.058,,,0.197,0.395,0.000,0.000,0.015,0.468
stage3b,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,128x128,128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1082.809,0.051,0.047,0.056,,,0.197,0.395,0.000,0.000,0.015,0.468
baseline,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1563.970,0.078,0.076,0.080,,,3.158,6.317,0.000,0.000,0.234,7.490
stage3b,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,512x512,512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1537.831,0.076,0.072,0.078,,,3.158,6.317,0.000,0.000,0.234,7.490
baseline,ok,matmul,matmul_rhs_wrong_stick,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,1024x1024,1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1719.063,0.172,0.168,0.175,,,12.633,25.267,0.000,0.000,0.936,29.959
