json_file,root,op,cores,tensor,role,loc,layout_wkslices,address,coreIdToWkSlice,schedule
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_4.json,4_sumnonstick,sumnonstick,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,y,x,i; stick=i; stick_size=[64]",0x0,i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_4.json,4_sumnonstick,sumnonstick,32,1_Tensor1,OUTPUT,hbm+lx,"layout=mb,out,y,x,i; stick=i; stick_size=[64]",-0xc2..-0xa3 (32 unique),i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_5.json,5_identity,identity,32,0_Tensor0,OUTPUT,hbm+lx,"layout=y,out,mb,x; stick=out; stick_size=[64]",-0xe2..-0xc3 (32 unique),mb=0 out=0 x=0 y=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_5.json,5_identity,identity,32,1_Tensor1,OUTPUT,lx,"layout=y,out,mb,x; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=0 y=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_6.json,6_mul,mul,32,0_Tensor0,OUTPUT,lx,"layout=out,x,mb; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_6.json,6_mul,mul,32,1_Tensor1,OUTPUT,hbm+lx,"layout=out,x,mb; stick=out; stick_size=[64]",-0xe3,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_6.json,6_mul,mul,32,2_Tensor2,OUTPUT,lx,"layout=out,x,mb; stick=out; stick_size=[64]",0x20000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_7.json,7_ReStickifyOpHBM,ReStickifyOpHBM,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x20000,mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_7.json,7_ReStickifyOpHBM,ReStickifyOpHBM,32,1_Tensor1,KERNEL,hbm+lx,"layout=mb,x,out; stick=x; stick_size=[64]",-0x103..-0xe4 (32 unique),mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_8.json,8_batchmatmul,batchmatmul,32,0_Tensor0,INPUT,hbm+lx,"layout=mb,in,x; stick=in; stick_size=[64]",-0x113..-0x104 (16 unique),in=0 mb=0 out=0:1 (2 unique) x=0:15 (16 unique),"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_8.json,8_batchmatmul,batchmatmul,32,1_Tensor1,KERNEL,hbm+lx,"layout=mb,out,in; stick=out; stick_size=[64]",-0x115..-0x114 (2 unique),in=0 mb=0 out=0:1 (2 unique) x=0:15 (16 unique),"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_8.json,8_batchmatmul,batchmatmul,32,2_Tensor2,OUTPUT,lx,"layout=out,x,mb; stick=out; stick_size=[64]",0x0,in=0 mb=0 out=0:1 (2 unique) x=0:15 (16 unique),"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_9.json,9_add,add,32,0_Tensor0,OUTPUT,lx,"layout=out,x,mb; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
